Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,buttontext,finished,project_id,url,age,device,gender,education,projectID,startedAt,computerID,assignmentID,yearOfBirth,participantID,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,assignment_id,participant_id,"If you could press a button to skip tomorrow, would you? Assume you still complete all the things you would normally complete, and remember the day normally, you just don't experience it. (mg9zk0t)",How satisfied are you with life as a whole these days? (mwhc2vc),How enjoyable is your life these days? (l1z3onc)
7022267,21,2022-01-31 17:43:47,0.32,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,28,desktop,female,completedBachelorsDegree,27dd131a,2022/01/31 09:43 AM,0bda94d0211fde5dfeffc6a3c9f7cbfc51c978f9,bdebcfbb,1993,1657dcf3,5,United States,"$40,000 to $59,999",1,3,50000,bdebcfbb,1657dcf3,Yes,2.5,2.2
7022268,21,2022-01-31 17:43:55,0.23,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,67,desktop,female,completedAssociateDegreeOnly,27dd131a,2022/01/31 09:43 AM,87298be28ec766c3f29e81a644bf828cb83274ce,99cad35c,1954,a3d1c9a9,4,United States,"$40,000 to $59,999",1,3,50000,99cad35c,a3d1c9a9,No,8.8,8.9
7022269,21,2022-01-31 17:43:56,0.4,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,31,desktop,male,completedBachelorsDegree,27dd131a,2022/01/31 09:43 AM,a62bd3e92c7ebcd0f5483d242937ce361270b76b,a01e387e,1991,16830a8c,5,United States,"$60,000 to $84,999",0,4,72500,a01e387e,16830a8c,No,6.5,5.5
7022270,21,2022-01-31 17:43:57,0.17,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,41,desktop,male,completedTradeTechicalVocationalTraing,27dd131a,2022/01/31 09:43 AM,30aaf99e8a74783537153791b85f084e46122a93,394fe1a3,1980,cb8da79e,3,United States,"$40,000 to $59,999",0,3,50000,394fe1a3,cb8da79e,No,7.6,8.7
7022271,21,2022-01-31 17:43:58,0.42,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,39,desktop,female,completedBachelorsDegree,27dd131a,2022/01/31 09:43 AM,9819784d9bd140dbf46521539648f24ecea501cb,2393264a,1982,25ee34cf,5,United States,"$25,000 to $39,999",1,2,32500,2393264a,25ee34cf,Yes,4,3.8
7022272,21,2022-01-31 17:44:00,0.68,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,40,desktop,male,completedProfessionalDegree,27dd131a,2022/01/31 09:43 AM,49124178c730140149c1b83f1654e1b764975764,126abd97,1981,14572735,7,United States,"$200,000 or more",0,8,225000,126abd97,14572735,Yes,2.3,2
7022276,21,2022-01-31 17:44:08,2.38,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,28,desktop,male,completedBachelorsDegree,27dd131a,2022/01/31 09:43 AM,ec11efca4383e603eae8920cf1c2eec9f4f3944f,3989e641,1993,cd68d1db,5,United States,"Less than $9,999",0,0,4500,3989e641,cd68d1db,No,9,9
7022277,21,2022-01-31 17:44:16,0.23,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,39,desktop,male,completedOnlyHighSchoolOrTheEquivalent,27dd131a,2022/01/31 09:43 AM,37d72f110235376dd81a84c91f6f4e771f781bfb,4c8e86d9,1982,86dbf963,2,United States,"$25,000 to $39,999",0,2,32500,4c8e86d9,86dbf963,No,8,9
7022278,21,2022-01-31 17:44:18,0.13,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,31,desktop,male,completedTradeTechicalVocationalTraing,27dd131a,2022/01/31 09:44 AM,93574d0c92811a0f16f12da162227573a0435468,c746d0b0,1990,7d88d63c,3,United States,"$10,000 to $24,999",0,1,17500,c746d0b0,7d88d63c,No,8.2,8.7
7022281,21,2022-01-31 17:44:16,0.23,rl4pf73,0,Click to finish and give feedback,1,27dd131a,https://app.positly.com/#/f?task_id=27dd131a,38,desktop,male,completedBachelorsDegree,27dd131a,2022/01/31 09:43 AM,ecfe1221ec73050903cdd5b1833a42c4372c7a80,9e622902,1984,1c5d9265,5,United States,"$25,000 to $39,999",0,2,32500,9e622902,1c5d9265,No,7.1,7.4
