Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,Randomize (u8cc59f),How enjoyable is your life as a whole these days? (dzyh760),How satisfied are you with life as a whole these days? (ql4c1ak),"Imagine I gave you a ""SKIP TODAY"" button. When pressed, this button would cause you to be instantly transported 24 hours into the future. You still do all the things you would normally do, and remember the day normally, you just don't experience it. In a typical week how many times would you use the button? (55qcu1j)",buttontext,finished,project_id,url,age,device,gender,education,projectID,startedAt,computerID,assignmentID,yearOfBirth,participantID,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,assignment_id,participant_id
7027423,6,2022-02-01 16:40:10,0.42,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",7,8,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,47,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 08:39 AM,060048b43742b04f399e42e833d8f0f3fb6ece03,fb7a1aec,1974,42779276,5,United States,"$60,000 to $84,999",1,4,72500,fb7a1aec,42779276
7027473,6,2022-02-01 16:48:50,0.33,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",7,8,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,30,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 08:45 AM,c5c1e0a0444894206566611717463b80ba9a7b5b,c0ab6251,1991,1ad968c0,2,United States,"$40,000 to $59,999",1,3,50000,c0ab6251,1ad968c0
7027491,6,2022-02-01 16:52:03,0.4,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",8,8,2,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,76,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 08:51 AM,eea6e1d47c85f0c081c182450a32bba934c86ed5,4013f47c,1946,ea0e9efa,5,United States,"$40,000 to $59,999",0,3,50000,4013f47c,ea0e9efa
7027499,6,2022-02-01 16:54:33,0.4,rl4pf73,0,"q8q6d40,okhcw2j,79aq97l",7,6,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,43,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 08:53 AM,8440a5bb208b59ebf7eb9c527c5b0e574f98cf15,bcbe9178,1979,8ac44dbc,2,United States,"$10,000 to $24,999",1,1,17500,bcbe9178,8ac44dbc
7027504,6,2022-02-01 16:55:17,0.3,rl4pf73,0,"79aq97l,q8q6d40,okhcw2j",8,8,1,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,42,desktop,female,completedMastersDegree,3f66609b,2022/02/01 08:54 AM,bb45f8d0f3a192690fdd2dff8a32cb32bcb19306,e4e3d666,1980,910e4918,6,United States,"$85,000 to $114,999",1,5,100000,e4e3d666,910e4918
7027560,6,2022-02-01 17:05:00,0.4,rl4pf73,0,"79aq97l,okhcw2j,q8q6d40",0,1,4,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,35,desktop,female,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:04 AM,2689cc15f76a3850d5de69b4dc1682b2f8055c6e,ecc87fd9,1986,49d95efc,2,United States,"$10,000 to $24,999",1,1,17500,ecc87fd9,49d95efc
7027579,6,2022-02-01 17:08:02,0.32,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",4,6,4,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,58,desktop,male,completedBachelorsDegree,3f66609b,2022/02/01 09:07 AM,7d04799ffe85ed72fd89fc75ede7e5a8b90bd71b,a118da09,1963,068ad6c1,5,United States,"$200,000 or more",0,8,225000,a118da09,068ad6c1
7027644,6,2022-02-01 17:20:45,0.38,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",1,1,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,38,desktop,male,completedOnlyHighSchoolOrTheEquivalent,3f66609b,2022/02/01 09:20 AM,244f09c349c852c4eae7da1eba3d94a6642fd71a,754fe519,1984,8f2a54dc,2,United States,"$10,000 to $24,999",0,1,17500,754fe519,8f2a54dc
7027665,6,2022-02-01 17:25:56,0.62,rl4pf73,0,"q8q6d40,79aq97l,okhcw2j",7,7,3,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,47,desktop,female,completedBachelorsDegree,3f66609b,2022/02/01 09:25 AM,dd022644ac343996e5b4cb91ff24aabe7d8614ff,dc15f4c5,1975,6ea68b8c,5,United States,"$40,000 to $59,999",1,3,50000,dc15f4c5,6ea68b8c
7027696,6,2022-02-01 17:31:11,0.33,rl4pf73,0,"okhcw2j,79aq97l,q8q6d40",2,2,0,Click to finish and give feedback,1,3f66609b,https://app.positly.com/#/f?task_id=3f66609b,40,desktop,male,completedAssociateDegreeOnly,3f66609b,2022/02/01 09:30 AM,15bf47a9e1e993a7518f9e7b9c03ea4f5a57dc7b,611e4d1a,1981,333692ed,4,United States,"$10,000 to $24,999",0,1,17500,611e4d1a,333692ed
