Run,Program Version,Time Started (UTC),Minutes Spent,Position,Points,How satisfied are you with life as a whole these days? (ql4c1ak),How enjoyable is your life as a whole these days? (dzyh760),age,device,gender,employed,education,projectID,startedAt,computerID,creditScore,assignmentID,ethnicityUsa,religiousness,yearOfBirth,participantID,educationScore,ethnicityWhite,politicalViews,computerCountry,filedBankruptcy,householdIncome,socialMediaUse,employmentStatus,femaleAs1MaleAs0,outcomeCreditScore,politicalLiberalness,filedBankruptcyScore,householdIncomeScore,overallPhysicalHealth,outcomeSocialMediaUse,householdIncomeEstimate,outcomeKnowsCreditScore,outcomeReligiousness0To5,outcomeRelationshipLongTerm,mostRecentMentalHealthDiagnosis,outcomeOverallPhysicalHealth,everDiagnosedMentalHealthDisorder,ethnicityNative,outcomeRelationshipNone,"Imagine I gave you a ""REPLAY YESTERDAY"" button. When pressed, this button would cause you to be instantly transported back in time to yesterday morning. You would live the day again exactly the same as you did the first time. You would have no recollection of pressing the button. *Would you press this button to replay yesterday?* (6jkjlca)",ethnicityBlack,"Imagine I gave you a ""SKIP TOMORROW"" button. When pressed, this button would cause you to be instantly transported 24 hours into the future. You still do all the things you would normally do (so nobody else can tell any difference), and remember the day normally, you just don't experience it. Afterwards, you forget you pressed the button. *Would you press this button to skip tomorrow?* (5jpyee3)",buttontext,finished,project_id,assignment_id,participant_id,url,ethnicityOther,ethnicityAsian,ethnicityLatino,outcomeRelationshipJustStarted
9457793,3,2023-01-26 18:39:56,0.78,rl4pf73,0,0,0,37,desktop,female,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:39 AM,b8eb79679908b2e9a564fa3cbff091801a549922,Fair: 580 - 669,pbab221e5,"White, Caucasian or European",Not at all religious,1985,p900508fb,2,1,Liberal,United States,no,"$10,000 to $24,999",up to 3 hours,Part-time work,1,580,1,0,1,A little below average,90,17500,1,0,1,anxiety,-1,1,,,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pbab221e5,p900508fb,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457794,3,2023-01-26 18:40:10,0.67,rl4pf73,0,5,7,38,desktop,female,1,completedTradeTechicalVocationalTraing,pbbfdbc42,2023/01/26 10:39 AM,0a9d113dfef328e3518826b4439a5f54d910dca2,Good: 670 - 739,pa8f37410,American Indian or Alaska Native,Extremely religious,1984,p0997a140,3,,Moderate,United States,no,"$85,000 to $114,999",about an hour,Own business / Self-employed,1,670,0,0,5,Above average,45,100000,1,5,1,anxiety,2,1,1,,Yes,,Yes,Click to finish and give feedback,1,pbbfdbc42,pa8f37410,p0997a140,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457795,3,2023-01-26 18:40:11,0.45,rl4pf73,0,3,3,39,desktop,female,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:39 AM,225231a03bbb650e50f01106023b7be25fc97c9a,Very Good: 740 - 799,pda25cef0,"White, Caucasian or European",Not at all religious,1984,pdf27a2b1,5,1,Liberal,United States,no,"$60,000 to $84,999",about an hour,Full-time work,1,740,1,0,4,Above average,45,72500,1,0,,none,2,0,,1,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pda25cef0,pdf27a2b1,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457798,3,2023-01-26 18:40:33,0.42,rl4pf73,0,7,6,34,desktop,male,1,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:40 AM,f58ae5a497c6193ca5c006048d53f8413238cd63,Fair: 580 - 669,pab1aec59,"White, Caucasian or European",Not at all religious,1988,p9d67a197,5,1,Liberal,United States,yes,"$40,000 to $59,999",up to 3 hours,Full-time work,0,580,1,1,3,Average,90,50000,1,0,,none,0,0,,1,No,,No,Click to finish and give feedback,1,pbbfdbc42,pab1aec59,p9d67a197,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457800,3,2023-01-26 18:40:34,0.43,rl4pf73,0,6,6,41,desktop,male,0,completedBachelorsDegree,pbbfdbc42,2023/01/26 10:40 AM,a65a815ef2ca19b277c9881a2560951836d26038,Exceptional: 800 - 850,pa95357e3,"White, Caucasian or European",Moderately religious,1982,p28337d68,5,1,Conservative,United States,no,"$115,000 to $149,999",more than 3 hours,Unemployed,0,800,-1,0,6,A little above average,180,132500,1,3,1,none,1,0,,,No,,No,Click to finish and give feedback,1,pbbfdbc42,pa95357e3,p28337d68,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457801,3,2023-01-26 18:40:44,0.3,rl4pf73,0,2,2,31,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:40 AM,f89d71f89cec334dd32fb7afefd9d23e275df8d6,Exceptional: 800 - 850,paa9443b5,"White, Caucasian or European",Not at all religious,1991,p0b7e2e5d,2,1,Liberal,United States,no,"$115,000 to $149,999",about an hour,Full-time work,0,800,1,0,6,Average,45,132500,1,0,1,depression,0,1,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,paa9443b5,p0b7e2e5d,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457802,3,2023-01-26 18:40:55,0.37,rl4pf73,0,2,3,34,desktop,male,1,completedMastersDegree,pbbfdbc42,2023/01/26 10:40 AM,430705d9d0a8d48fbce85c17684482ace36c551f,Fair: 580 - 669,pb46d9765,"Black, African or African Descent",Not at all religious,1989,p68d71b5a,6,,Very liberal,United States,no,"$10,000 to $24,999",about an hour,Full-time work,0,580,2,0,1,Below average,45,17500,1,0,,none,-2,0,,1,No,1,Yes,Click to finish and give feedback,1,pbbfdbc42,pb46d9765,p68d71b5a,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457803,3,2023-01-26 18:40:56,0.37,rl4pf73,0,8,7,45,desktop,male,1,completedProfessionalDegree,pbbfdbc42,2023/01/26 10:40 AM,200ffcd885aabac42f921cb7fcf31b665bc646dc,Exceptional: 800 - 850,pa2fd789c,"White, Caucasian or European",Moderately religious,1977,p93a54c8d,7,1,Moderate,United States,no,"$115,000 to $149,999",less than 30 minutes,Full-time work,0,800,0,0,6,A little above average,15,132500,1,3,1,none,1,0,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pa2fd789c,p93a54c8d,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457804,3,2023-01-26 18:41:01,0.52,rl4pf73,0,8,8,44,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:40 AM,7225e1f5b338019ae5ebce6242c1dc3fca9ce9c4,I do not remember my FICO credit score,pa488a85c,"White, Caucasian or European",Not at all religious,1978,p23ca8d6b,2,1,Liberal,United States,yes,"Less than $9,999",about an hour,Own business / Self-employed,0,300,1,1,0,Average,45,4500,0,0,,anxiety,0,1,,1,Yes,,No,Click to finish and give feedback,1,pbbfdbc42,pa488a85c,p23ca8d6b,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
9457806,3,2023-01-26 18:41:07,0.33,rl4pf73,0,9,9,42,desktop,male,1,completedOnlyHighSchoolOrTheEquivalent,pbbfdbc42,2023/01/26 10:40 AM,7f73f20df7d664a04e7f6a3c01d5bddf017c9f91,Fair: 580 - 669,pbc1b305d,"White, Caucasian or European",Not at all religious,1980,pa8ae39fd,2,1,Moderate,United States,no,"$40,000 to $59,999",less than 30 minutes,Full-time work,0,580,0,0,3,Average,15,50000,1,0,1,none,0,0,,,No,,Yes,Click to finish and give feedback,1,pbbfdbc42,pbc1b305d,pa8ae39fd,https://app.positly.com/#/f?task_id=pbbfdbc42,,,,
